baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FAM83A	6554.88098211135	-6.8709059356109	0.246736309017319	-27.8471618667547	1.16584479215625e-170	6.60147955110553e-166
PYCR1	3714.09765422353	-3.71023567213348	0.136966953592636	-27.0885463596451	1.34348570408505e-161	3.8036767254056e-157
TEDC2	271.483971313299	-3.52176679581119	0.149958140859026	-23.4849990513151	5.805657951702e-122	6.57479151714349e-118
TOP2A	5405.87565532065	-3.89054339288109	0.167934224776898	-23.1670667372878	9.78409181399109e-119	6.9251801859429e-115
AFAP1-AS1	2849.51007916651	-6.25529557921424	0.270768594902889	-23.1019981525469	4.42073591919583e-118	2.78133056320605e-114
ETV4	2009.18753390177	-3.85015503470749	0.16686662082828	-23.073248655701	8.59606328874737e-118	4.86743487662031e-114
IQGAP3	1357.57956614635	-3.60650541597176	0.158191011172859	-22.7984219155844	4.75343414095509e-115	2.07044965228801e-111
FAM83A-AS1	219.430481978708	-6.64179322737616	0.292714315912081	-22.6903600757643	5.57791993208194e-114	1.9740258639638e-110
B3GNT3	2102.59845564182	-4.37011223872949	0.193139699875212	-22.6266906366378	2.36714729813864e-113	7.88454991822367e-110
LCAL1	1259.72796686289	-7.8954604031492	0.350332270604366	-22.5370628561524	1.7986161438683e-112	5.65804669613326e-109
SAPCD2	449.046628875972	-3.79269573206982	0.168989040078939	-22.4434420735105	1.48309917950874e-111	4.19895039702514e-108
UBE2T	842.652167428309	-3.31487895104626	0.150997605418306	-21.9531888725196	8.07349175478844e-107	1.75828229662746e-103
MEX3A	1345.25508657776	-4.21089014427474	0.192450216144567	-21.8804126523379	3.99214940441935e-106	8.37227658799412e-103
KIF4A	861.254171432269	-3.83250906160636	0.175222024601128	-21.872302128289	4.76895744876356e-106	9.644194520671e-103
NEK2	693.268607918881	-3.78863392031017	0.175959441473451	-21.5312908962706	7.92939381072316e-103	1.40310623480746e-99
CDC25C	198.814760900272	-3.71173528760262	0.172874525379102	-21.4706896777477	2.92643271385782e-102	4.87371547027897e-99
CRABP2	8268.97954697705	-5.61930606543309	0.262540199166363	-21.4036025084003	1.23673215942345e-101	2.00082062271982e-98
ABCA12	589.440829779837	-5.5039381232233	0.257945241349879	-21.3376222581975	5.08139054938221e-101	7.57180680179522e-98
HJURP	699.098697094321	-3.85373211157132	0.181055514358233	-21.2848093869507	1.56984005398163e-100	2.2222655804164e-97
GOLM1	12990.4389438257	-2.66796289209215	0.125344482836624	-21.2850444767451	1.56198722374463e-100	2.2222655804164e-97
KIF14	445.575224100542	-3.7862679147247	0.17816182231473	-21.2518477052626	3.16944545424017e-100	4.37723608294866e-97
ADM2	742.482619670862	-3.41381702573601	0.161664157700058	-21.116721692076	5.58380241319942e-99	7.35295878709311e-96
ANLN	2082.14640721397	-3.84705486696197	0.182314878661337	-21.1011569390788	7.76137483120546e-99	9.98818382823132e-96
TMEM184A	1896.34433497977	-3.14840747400295	0.1495021164658	-21.0592836304306	1.87996000638466e-98	2.36557456447833e-95
UHRF1	686.162445922082	-3.35987261389394	0.159734731811457	-21.0340767833746	3.19939992535557e-98	3.93832220376813e-95
TMPRSS4	5253.3527437986	-4.80249619159109	0.228867390314625	-20.9837503935754	9.23176993263133e-98	1.11221221418152e-94
ASPM	989.562285478361	-3.75552058770824	0.17918260684074	-20.959180435667	1.54728230465678e-97	1.82527735872678e-94
CDC20	1567.07484351667	-3.78318364848519	0.18109457318866	-20.8906516737195	6.51247016991683e-97	7.37524221802741e-94
CTHRC1	3133.38438941148	-3.77441694669925	0.18107221725765	-20.8448154215099	1.6986247810305e-96	1.84967172309752e-93
CENPF	2350.7281638179	-3.53001121208063	0.169485110115155	-20.8278544922454	2.42064219464501e-96	2.58615931376564e-93
DLGAP5	746.565541505966	-3.70501686603203	0.177913068895616	-20.8248718828284	2.57614048253397e-96	2.70132182746303e-93
KIF20A	866.109288379717	-3.1990977165265	0.153794352048349	-20.8011391440485	4.22651190538959e-96	4.35130927510509e-93
UBE2C	1756.60341330182	-4.21248827460584	0.202613713507031	-20.7907362324696	5.2499224013115e-96	5.3084215366404e-93
XRCC2	305.031391198655	-3.28952164707033	0.158321485548274	-20.7774809317799	6.91952929821644e-96	6.87388468389838e-93
MMP11	5597.57754401529	-5.2904663483592	0.254883814080338	-20.7563841095522	1.07346331595494e-95	1.04799632418332e-92
NUF2	572.959686718286	-3.71703552419864	0.179374348471731	-20.7222245313657	2.18360149524938e-95	2.09566527232205e-92
CDC6	984.282764041312	-3.47161528436655	0.167547654577086	-20.7201664095472	2.27896453230004e-95	2.15073479461596e-92
ATP10B	712.087687916248	-5.88119419015465	0.283945671600561	-20.7123924693171	2.6781917168243e-95	2.48606438972883e-92
CYP24A1	4459.06750534991	-6.86010135887219	0.331550001019419	-20.6910008679819	4.17457616356986e-95	3.81260001106419e-92
COL10A1	2656.4111528101	-4.52504449248446	0.218780134422355	-20.6830684350384	4.92090781476431e-95	4.42288070005102e-92
ERCC6L	210.414425161827	-3.32657038513205	0.16095860753341	-20.667241324398	6.83108121966449e-95	6.04379910909816e-92
KIF2C	950.957402725174	-3.58224699526352	0.173645186429254	-20.629693623687	1.48588468709988e-94	1.2747990079143e-91
BUB1B	533.13613584316	-3.45086796586524	0.167718630930808	-20.5753406566317	4.56511709868205e-94	3.80139986170254e-91
E2F8	334.117110671476	-3.19764291661079	0.156140076016565	-20.4793221457863	3.2920765102229e-93	2.62550056781495e-90
SPAG5	1161.33164818457	-3.1128333763782	0.152195639483433	-20.4528420587045	5.66751022227901e-93	4.45718192814343e-90
MELK	703.300369630094	-3.64307174981843	0.178324440482947	-20.4294584631927	9.15111777199034e-93	7.00233638812407e-90
KIF18B	575.948209221813	-3.77236037430478	0.184915887731069	-20.4004124285474	1.6581124856009e-92	1.23538107085086e-89
EXO1	428.682899381354	-3.6163541313617	0.177284173706338	-20.398629250189	1.71968800210889e-92	1.26461835625212e-89
GREM1	2759.86010283515	-4.98817923780916	0.24470697557527	-20.3842952416158	2.30512262706151e-92	1.652536431073e-89
Z98257.1	490.004541648351	-6.09271199035824	0.298892590223087	-20.3842858259242	2.30556615666091e-92	1.652536431073e-89
TROAP	549.040191332239	-3.80320407881091	0.186615715299537	-20.3798703271392	2.52322769700753e-92	1.78594056394193e-89
PTPRH	699.705250406902	-5.08652686774313	0.249799850937642	-20.3624095396794	3.60415775278051e-92	2.5195287480672e-89
LINC01977	105.310407732309	-4.81887590690531	0.236686047443549	-20.3597802192148	3.80285641592757e-92	2.62601148409125e-89
PITX2	344.677799960307	-8.17533460482598	0.403687986093384	-20.2516173045952	3.43766393005092e-91	2.34523231777354e-88
COL11A1	3054.98102911972	-6.1593511740849	0.304616475746171	-20.2200198101476	6.52569358490993e-91	4.34718674766988e-88
DEPDC1	440.386660384871	-3.81908696030645	0.18904918247642	-20.2015523700178	9.4867685914745e-91	6.17446878992703e-88
TPX2	2539.75477572986	-3.66375324280387	0.18138773982477	-20.1984612981189	1.00995412671533e-90	6.49859573535555e-88
ORC6	346.592067653233	-3.05866303600763	0.15147901948684	-20.1919912498071	1.15129549231344e-90	7.32482651199511e-88
DEPDC1B	336.427272017066	-3.62173067239343	0.179966895848185	-20.1244270804594	4.50954328929721e-90	2.83720421347962e-87
BIRC5	1837.54113977181	-3.69147385075287	0.183626949888077	-20.1031158716238	6.93027174677649e-90	4.31230447680738e-87
PLEKHN1	328.867176992794	-3.15325071699901	0.15686111040663	-20.1021828088865	7.06181603051719e-90	4.34639424904354e-87
PLK1	916.330089925714	-3.20138094116828	0.159427866434994	-20.0804352009165	1.09431894989968e-89	6.66287271173328e-87
FEZF1-AS1	348.289530289503	-6.22824953885433	0.310709840599463	-20.0452278139565	2.22162369420218e-89	1.31038770896359e-86
ZYG11A	146.899881368248	-5.45791875643031	0.272930292922593	-19.9974824999666	5.79234477194949e-89	3.38129618934916e-86
ARHGEF39	259.35737942756	-2.71309351728166	0.136539838308436	-19.8703437098916	7.34979197314446e-88	4.20378404734678e-85
