baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTUD1	1104.94536091125	2.11042168487337	0.0857992144340904	24.5972145408692	1.35291993165027e-133	2.55359127365884e-129
SPAAR	66.0277675887548	2.76373831994087	0.116463706392704	23.7304685343073	1.74833512441184e-124	2.47494320211739e-120
EPAS1	27577.2336345659	2.74411874656875	0.117329175406643	23.3882044858673	5.63444529856464e-121	5.31741384309874e-117
STX11	813.063319393713	3.07605940764512	0.132566759797051	23.2038514960637	4.16328974402146e-119	3.36774454950673e-115
PECAM1	11915.7111304913	2.3499012508009	0.102071109848194	23.022197508147	2.79418009884504e-117	1.43834230833638e-113
ACVRL1	2235.27814259459	2.61867872096749	0.114810829198664	22.8086386906607	3.76385036197824e-115	1.7760355241388e-111
S1PR1	1784.6249349183	2.90631442423216	0.127514524326713	22.7920265520946	5.50100369855988e-115	2.2249202387661e-111
RGCC	3376.35509471656	2.94077968658196	0.129309051443153	22.7422570482221	1.71194901274801e-114	6.46249339318954e-111
SEMA3G	727.873036526969	3.28394057794442	0.14625298284167	22.4538365928546	1.17389808409171e-111	3.49846342703207e-108
EMP2	14510.5902266576	2.74947155318163	0.123936671075669	22.1844876848673	4.84923954018054e-109	1.30753971296754e-105
RTKN2	2073.53908428704	4.09128759914965	0.184596891906665	22.1633612402221	7.75414088698325e-109	1.99577487992972e-105
PTPN21	1144.66400309477	2.47080603847673	0.111634070109876	22.133082096217	1.5183628853871e-108	3.73807739226779e-105
TEK	956.197956055582	3.31557428909298	0.14991657996653	22.116128114937	2.21111307380147e-108	5.21675277878894e-105
RAMP3	1130.96999278707	3.28562399192033	0.148643198670092	22.104099086381	2.88637409937998e-108	6.53752188013167e-105
FAM107A	1744.29574121333	4.64319996582675	0.212631884116552	21.8368001822418	1.03773396137946e-105	2.02622923548796e-102
HSPA12B	431.573230808632	2.84219648017884	0.131362271330379	21.6363226015684	8.17705521534578e-104	1.5433919150458e-100
LDB2	985.211080701712	2.65316663559316	0.122964412881397	21.5767031568087	2.97327169789031e-103	5.43092053617228e-100
LIMS2	1202.3173643733	2.88074943655912	0.134096259667592	21.4826979044765	2.25992231612135e-102	3.87775276448653e-99
RAMP2	935.792768807178	2.90448448622691	0.135758515431851	21.3944921023015	1.50358229284871e-101	2.36496788195181e-98
PALM2AKAP2	6099.33390703744	2.53517484966171	0.11872741985573	21.3529010631436	3.66468425149489e-101	5.60835354207153e-98
WWC2	1977.81445229426	2.37863240836018	0.112599904877569	21.1246395895848	4.72215550264417e-99	6.36636507575532e-96
ROBO4	1291.0888782476	2.89363067278765	0.138479781451529	20.8956906377014	5.86028832558766e-97	6.77210134996073e-94
