baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCC2	770.63571804199	-3.86728692580961	0.365181682252475	-10.590035354336	3.31466640010423e-26	1.87736075569103e-21
TM4SF4	675.100818620005	-4.25656462874845	0.411802355871504	-10.3364261230129	4.82185726516297e-25	1.3655017589215e-20
ANKS4B	136.689895255894	-4.83228763501294	0.479019590570338	-10.0878705801144	6.25108217148323e-24	1.18016264009489e-19
REG4	96.2536457851594	-4.96312024858981	0.514117219715367	-9.65367441171795	4.74252914725911e-22	6.71518414606154e-18
EPS8L3	131.9157984022	-4.66350320408961	0.487680612631136	-9.56261758885404	1.14815329991718e-21	1.30058213201418e-17
SCARNA5	70.3902081973094	-4.68968402552647	0.50155348592534	-9.35031687971273	8.7385523614685e-21	8.24890214414755e-17
ALB	313.884289213273	-4.06620560082036	0.444486850346166	-9.14808975260709	5.79491431009456e-20	4.68874795278765e-16
MUC6	652.919563156725	-3.85895980000845	0.4316235339835	-8.94056856537384	3.87173141695753e-19	2.7410890499205e-15
UPK1B	202.096050013184	-4.19598074755674	0.488755283709314	-8.58503403935022	9.08095365583823e-18	5.71474503510406e-14
LINC00942	356.482246788673	-3.23937865969178	0.383452372490278	-8.44792963114059	2.9651400223368e-17	1.67939600585112e-13
CPLX2	537.540123450922	-4.52219409780393	0.537770863551835	-8.40914672828502	4.13004191280528e-17	2.12652103506787e-13
CDH17	524.518986864357	-3.09440101884838	0.372934060277021	-8.2974481240727	1.06371523408994e-16	5.02055861903217e-13
MUC2	60.6155170735513	-3.69948685923459	0.45636747689549	-8.10637708979817	5.21514220831554e-16	2.2721171107275e-12
SCARNA6	33.8296575736527	-2.8529636677502	0.363454762107594	-7.84957019466878	4.17465469824727e-15	1.68888637713806e-11
HMGA2	818.536428166755	-3.21261636116595	0.41037692699552	-7.82845269758799	4.93910706424541e-15	1.86494097269821e-11
MTND1P23	203.124705332754	-2.78793279658092	0.364711654756735	-7.64421087239584	2.10230630406591e-14	7.44190152810532e-11
ZIC1	46.971666556007	-4.62684026317563	0.614166891794683	-7.53352276879553	4.93893957932342e-14	1.645480352316e-10
ZIC4	15.2916544862715	-5.27319308219728	0.711490744447306	-7.41147108848697	1.24906031050809e-13	3.93023765925317e-10
