Var1	Freq
1	bisque4	47
2	black	954
3	blue	2381
4	brown	1927
5	brown4	47
6	cyan	410
7	darkgreen	246
8	darkgrey	221
9	darkmagenta	105
10	darkolivegreen	106
11	darkorange	195
12	darkorange2	51
13	darkred	264
14	darkslateblue	46
15	darkturquoise	246
16	floralwhite	52
17	green	1541
18	greenyellow	537
19	grey	4384
20	grey60	363
21	ivory	53
22	lightcyan	386
23	lightcyan1	56
24	lightgreen	348
25	lightsteelblue1	58
26	lightyellow	315
27	magenta	622
28	mediumpurple3	59
29	midnightblue	404
30	orange	215
31	orangered4	59
32	paleturquoise	121
33	pink	637
34	plum1	60
35	plum2	45
36	purple	605
37	red	979
38	royalblue	268
39	saddlebrown	158
40	salmon	416
41	sienna3	103
42	skyblue	164
43	skyblue3	63
44	steelblue	124
45	tan	473
46	thistle1	30
47	thistle2	32
48	turquoise	3777
49	violet	116
50	white	192
51	yellow	1763
52	yellowgreen	80
