V1	V2
1	-6454	-6490
2	-6101	-6125
3	-6425	-6464
4	-4681	-5839
5	-7195	3
6	-2589	-7438
7	-6678	-6701
8	-6103	4
9	-6229	-6231
10	-1396	-3879
11	-7215	5
12	-7342	1
13	-2108	-6938
14	-4282	-5548
15	-569	-4747
16	-4647	8
17	-1637	-6393
18	-2356	-3260
19	-3461	13
20	-4368	-5337
21	-5024	-6837
22	-5640	20
23	-3712	-5665
24	-4340	-5667
25	-4421	-5669
26	-4905	-4926
27	-5351	22
28	-4272	-4813
29	26	27
30	-5079	16
31	-6806	21
32	24	29
33	-5506	17
34	-5652	32
35	-2760	-7503
36	-5282	-5581
37	25	34
38	28	37
39	-4848	38
40	-4856	-4859
41	-4093	-5518
42	-7150	-7244
43	-5539	39
44	-5729	23
45	-4840	-5090
46	-4383	43
47	-1562	-4008
48	44	46
49	-1900	48
50	36	49
51	-5179	-5775
52	-3452	50
53	-5320	-6169
54	-5494	-5896
55	-5003	52
56	-4539	55
57	-1993	-2875
58	-4796	56
59	-4103	-4960
60	-5322	-5662
61	-4297	-5204
62	-1614	31
63	-4447	-6048
64	-5041	58
65	-4438	-5715
66	-4904	41
67	-858	-1327
68	-4977	64
69	-1251	-3361
70	-4411	-4471
71	-6253	53
72	-5631	68
73	-1174	-3195
74	-4766	63
75	-2613	47
76	60	72
77	-4621	71
78	-2177	76
79	-4731	78
80	54	61
81	-4497	-5861
82	51	79
83	57	75
84	-4546	-5083
85	-1867	-3992
86	-6404	80
87	-3297	82
88	77	86
89	45	87
90	70	88
91	-3366	-5127
92	-5736	89
93	-4639	-5859
94	-4428	92
95	-1998	-2003
96	-4985	81
97	-6019	30
98	-4391	94
99	-2114	83
100	-572	-1992
101	-3864	98
102	-3991	-4414
103	-5080	101
104	-2224	99
105	-4628	90
106	-5486	103
107	-5095	106
108	-4688	-5434
109	-4211	-5326
110	-440	-3142
111	-1679	-2245
112	-4561	107
113	-2763	-4651
114	-3392	112
115	95	104
116	-5169	114
117	-3129	-3130
118	93	105
119	-5606	116
120	-1649	73
121	-5570	119
122	-4048	67
123	84	108
124	-5117	121
125	-1797	-1954
126	-4446	-5769
127	-5594	97
128	-4728	96
129	-4833	124
130	-5632	65
131	-1486	-4036
132	-2954	115
133	-6660	118
134	-3502	129
135	85	132
136	-5611	134
137	120	122
138	-4659	14
139	-4804	-6483
140	-277	91
141	-5985	136
142	-3862	135
143	-4917	141
144	-6309	130
145	123	143
146	109	128
147	-201	-848
148	100	142
149	-5713	145
150	-2253	110
151	-6499	12
152	-5725	133
153	-2907	-5638
154	131	144
155	-4554	-5336
156	-6635	-7457
157	-4427	149
158	-3103	-3152
159	-6488	137
160	-3575	157
161	-79	-4393
162	140	148
163	-4311	-5159
164	-4064	-4163
165	-5580	160
166	146	154
167	-5452	165
168	-4303	167
169	-6862	69
170	-3571	166
171	-1057	162
172	-7113	168
173	-1912	159
174	-6371	-7013
175	-4724	172
176	-6619	-6692
177	150	171
178	-4889	-6387
179	-7273	-7276
180	-5547	175
181	-4522	180
182	-502	-1016
183	-5073	139
184	102	170
185	-5047	181
186	-772	-3141
187	-2689	173
188	-4519	152
189	-1521	125
190	-2532	-2566
191	-5589	185
192	-5357	191
193	-1070	-3240
194	-6574	187
195	188	192
196	-386	147
197	164	177
198	-4707	184
199	-2078	-2673
200	-764	-1579
201	-7347	178
202	-4599	194
203	126	195
204	-1421	-3277
205	-4015	-4086
206	-4770	-5618
207	-4672	-5328
208	-4574	127
209	-6463	202
210	-1806	197
211	-4243	-4336
212	-5587	198
213	-4797	203
214	-2531	190
215	-4310	-5619
216	189	196
217	-322	161
218	-448	-2209
219	113	210
220	-5569	209
221	-5181	-5473
222	-6353	-7084
223	163	213
224	-5262	223
225	-6508	-7172
226	-4326	212
227	-4709	-6343
228	-4841	224
229	-4555	228
230	-3295	-5386
231	-3389	-5558
232	186	216
233	-5921	226
234	-6150	-7377
235	-4329	183
236	215	229
237	-6143	220
238	-2076	219
239	-5195	236
240	-2866	-6484
241	-4212	-7390
242	217	237
243	205	238
244	-5723	-6600
245	-4148	206
246	-4346	-5641
247	-2426	207
248	-5688	239
249	-4938	-7363
250	-5286	233
251	201	227
252	-5055	248
253	-5182	-5784
254	-2997	-6027
255	193	243
256	-4306	-4808
257	-4516	252
258	-6129	-6238
259	-779	232
260	-2312	-3775
261	-4518	257
262	-4325	261
263	-1299	255
264	-4482	242
265	-4657	262
266	158	259
267	-6721	174
268	-4986	265
269	-5689	155
270	-1401	263
271	-5869	250
272	245	251
273	-5497	268
274	266	270
275	-5039	-5759
276	-4356	271
277	-5415	273
278	-6726	-7251
279	240	264
280	221	235
281	-954	-5898
282	-4537	277
283	-3466	-5442
284	231	282
285	-3135	-6579
286	-5663	284
287	-4897	153
288	-1047	-6274
289	249	279
290	-4868	276
291	-5403	182
292	-2140	-3181
293	-4296	286
294	272	289
295	-5136	293
296	-6993	267
297	-5338	290
298	-5530	295
299	-930	-1187
300	-4276	280
301	-4030	-4982
302	-4290	298
303	274	299
304	-2511	-2684
305	-107	225
306	256	297
307	-5106	-5625
308	-6278	176
309	246	302
310	-4342	-5516
311	-362	-1699
312	-4422	306
313	218	303
314	-4384	309
315	-5884	-5897
316	-3323	40
317	-2466	-3871
318	-3930	294
319	-2835	278
320	211	314
321	-1695	204
322	-851	-4031
323	-7410	318
324	-2672	214
325	-5248	312
326	-5751	-6694
327	-5050	320
328	-2930	313
329	-4521	-6185
330	222	323
331	-2758	-5643
332	-2192	-4949
333	315	327
334	-4406	325
335	-4872	269
336	-618	330
337	-2089	-5437
338	-4420	333
339	-1097	59
340	-2928	336
341	-5651	338
342	283	334
343	-1252	169
344	-5002	341
345	-1748	321
346	291	308
347	-7197	340
348	-2581	-3371
349	258	342
350	-4469	344
351	296	347
352	301	328
353	-4372	350
354	-6509	199
355	-4398	353
356	-426	-4147
357	-5768	305
358	-4736	349
359	-3167	-3312
360	230	351
361	-5677	355
362	-2600	244
363	-769	-1403
364	-3145	285
365	-1935	-2935
366	-5977	361
367	-5664	360
368	-6651	358
369	-570	346
370	-2200	352
371	-6342	366
372	317	367
373	-7204	254
374	-5790	372
375	-5378	300
376	-5992	371
377	-3550	-6351
378	-5198	-5459
379	-4866	376
380	332	345
381	-899	370
382	-488	374
383	-5607	379
384	-1140	-3644
385	-6250	319
386	-1088	-2320
387	-3120	-3357
388	326	368
389	-5461	382
390	-4611	-4883
391	-4880	383
392	-6206	389
393	-4138	369
394	-3033	357
395	-5760	391
396	348	381
397	304	324
398	-5358	388
399	-4822	392
400	-4677	395
401	-5376	400
402	-4252	399
403	-7107	380
404	-5417	401
405	-4308	404
406	-4529	405
407	390	402
408	-2446	-2950
409	-5285	406
410	373	394
411	-633	-798
412	-1697	359
413	-4690	288
414	-3194	397
415	-4316	335
416	-5038	409
417	292	396
418	-6226	398
419	-6497	407
420	-768	322
421	-4684	416
422	385	419
423	362	410
424	-5445	421
425	-4449	-4452
426	-4874	422
427	-7193	393
428	-5160	418
429	-3970	354
430	-3560	417
431	403	412
432	-6657	-6792
433	-4849	424
434	-59	430
435	-1597	311
436	337	428
437	-5172	433
438	-4330	415
439	-2159	427
440	-6943	426
441	420	434
442	275	375
443	-2041	-2055
444	-5574	437
445	-4936	440
446	-749	-6819
447	-4345	431
448	329	436
449	-5567	444
450	-4381	445
451	-6925	423
452	-4819	449
453	-875	429
454	387	441
455	-5544	450
456	310	442
457	384	455
458	-697	-7178
459	-4285	452
460	-6680	457
461	-4255	439
462	-3191	447
463	-5540	459
464	451	460
465	-3362	448
466	-4433	463
467	-3245	356
