V1	V2
1	-3257	-6735
2	-8679	-12331
3	-5718	-13069
4	-876	-6767
5	-7559	-10603
6	-4136	1
7	-2329	-4905
8	-4485	-11877
9	-8786	3
10	-2757	-9939
11	-6890	6
12	-7744	-8401
13	2	5
14	-7348	-9940
15	-5951	-8894
16	-8614	11
17	-10419	-13580
18	7	16
19	-6861	-8723
20	9	18
21	-3793	-11224
22	-9435	-9685
23	-5380	13
24	20	23
25	-5986	-7442
26	-3015	-5754
27	-4537	-10752
28	-8694	4
29	14	24
30	-6200	29
31	-10496	28
32	-1279	-4969
33	30	31
34	-3757	8
35	-6553	-7818
36	33	34
37	-8078	15
38	27	36
39	-4191	-10555
40	17	38
41	-8906	-10559
42	-7082	10
43	-6513	40
44	21	43
45	26	44
46	-5257	-13433
47	25	45
48	37	47
49	-10272	-10921
50	-3116	12
51	-8264	42
52	-3506	-8065
53	48	50
54	-98	-13202
55	51	53
56	-5891	19
57	41	55
58	-5452	57
59	46	58
60	-7045	35
61	32	59
62	-7941	61
63	56	62
64	-7251	-11429
65	-6098	-7448
66	-10602	-13427
67	-8189	63
68	54	67
69	-12381	22
70	-7675	68
71	39	70
72	-9201	71
73	-13045	72
74	-13008	73
75	-8001	74
76	52	75
77	69	76
78	-9385	-10387
79	-6991	77
80	-8173	-8747
81	60	79
82	64	81
83	65	82
84	49	83
85	-9450	84
86	-5640	-9212
87	-1066	85
88	-12966	87
89	-1408	-6112
90	86	88
91	-37	90
92	-9389	-10199
93	-12098	91
94	80	93
95	-12965	94
96	-5925	95
97	89	96
98	66	97
99	-12195	98
100	-2254	99
101	-13315	100
102	-303	101
103	-4627	102
104	-3661	103
105	-1040	-6548
106	-7050	-8746
107	-11288	104
108	-4659	-5823
109	-6391	107
110	-6855	-7210
111	-6238	-7670
112	-13548	109
113	-6984	112
114	-5724	113
115	-5476	-5952
116	111	114
117	-5400	116
118	-3045	-8291
119	-13533	117
120	-5855	-6086
121	106	119
122	-211	-12057
123	-5229	121
124	-6324	-9803
125	-2654	-9731
126	-4305	123
127	-5886	126
128	115	127
129	-8833	128
130	-8926	129
131	-5937	-11153
132	-1152	-2095
133	78	92
134	-6095	-9895
135	-4220	130
136	-9568	135
137	-184	-1107
138	-2327	136
139	-3440	110
140	-9792	133
141	-2591	108
142	134	138
143	-7114	105
144	-4645	-4722
145	-10037	-11940
146	-5475	142
147	-9332	140
148	124	146
149	-1553	148
150	-9589	149
151	-1158	150
152	-9692	151
153	120	139
154	-13067	125
155	-1720	-2978
156	-6171	152
157	-11407	156
158	-6262	157
159	-2932	-7904
160	-5809	-7712
161	-2707	158
162	-7733	153
163	-1564	-7930
164	-11428	161
165	-3931	141
166	-4157	-5246
167	145	164
168	-6307	143
169	-7386	118
170	-8429	-10156
171	-9551	167
172	-159	-5838
173	-1205	-2514
174	-9741	154
175	-7376	171
176	162	172
177	-11354	175
178	163	177
179	165	169
180	-3292	168
181	-7475	178
182	-6537	-8783
183	-2854	181
184	-2438	-6889
185	-7091	183
186	-7119	132
187	-4181	-4997
188	-3062	-8947
189	-8364	185
190	-4237	-5696
191	-4281	137
192	-1759	-7038
193	-8063	-11863
194	-5338	189
195	-6558	-8630
196	-5048	-7527
197	160	194
198	144	180
199	-5728	-7837
200	-157	176
201	-5510	197
202	-13064	201
203	-6043	-9436
204	-4236	198
205	-9745	174
206	-803	202
207	-2339	-6242
208	-4359	-7628
209	-1445	206
210	-9345	147
211	-10551	209
212	179	200
213	191	204
214	-8540	-11972
215	-9451	211
216	-4897	-6572
217	-538	-4635
218	-9372	205
219	-5155	-12004
220	195	215
221	-5448	-9357
222	-5212	-6260
223	186	213
224	-886	173
225	-8733	155
226	-2696	-6366
227	-6048	220
228	166	227
229	217	223
230	-6782	228
231	-1519	-3628
232	-6552	159
233	219	230
234	-2691	-5684
235	-9521	212
236	190	229
237	-1122	-13073
238	232	236
239	-2673	-8219
240	-10546	233
241	-569	-7528
242	-6570	-8502
243	-8185	-12045
244	-6675	240
245	203	235
246	208	238
247	-138	-7619
248	-6116	-6261
249	237	244
250	-2139	225
251	-3464	246
252	-13476	249
253	-1057	218
254	-900	-5980
255	-4617	-4959
256	-255	-2274
257	184	245
258	-2722	-8902
259	-4834	-12854
260	-10687	252
261	-1159	-1169
262	214	260
263	207	251
264	224	263
265	-5536	199
266	196	241
267	-1254	250
268	222	257
269	231	264
270	-9213	262
271	192	268
272	-3	-5993
273	-986	188
274	-8971	270
275	-746	187
276	-611	-3894
277	-9325	210
278	-5797	274
279	-4677	-9052
280	242	269
281	-8319	253
282	-2750	278
283	273	280
284	-4283	283
285	-5964	170
286	-12117	282
287	-7384	284
288	261	287
289	-1082	-7193
290	-10817	286
291	-9237	290
292	265	288
293	-4154	281
294	-3790	291
295	-781	-4094
296	276	292
297	-10086	294
298	-3693	297
299	-5182	296
300	-7196	298
301	-353	-3572
302	182	271
303	258	299
304	-5924	239
305	-2743	303
306	-5599	-11773
307	-6818	293
308	-6129	-9742
309	-1615	300
310	-8202	-8928
311	-2389	-8664
312	-6810	267
313	-209	-6539
314	-6536	309
315	-972	266
316	216	289
317	-9567	-10925
318	-5957	314
319	-1425	-11762
320	305	316
321	-9160	318
322	-3825	-7314
323	-9115	321
324	275	320
325	-4658	-9240
326	285	304
327	-1476	-6314
328	-2123	302
329	-9386	277
330	-3469	323
331	-3976	-6629
332	-11025	226
333	-981	324
334	-6762	-7303
335	221	307
336	301	312
337	-7271	330
338	-5026	247
339	279	333
340	-11423	337
341	-568	-3876
342	-2885	340
343	-9361	339
344	-5480	-7892
345	-2175	-5197
346	-3573	-6141
347	315	328
348	-4408	342
349	256	343
350	-2114	-12388
351	-5793	349
352	-311	351
353	-4072	254
354	326	335
355	-5777	348
356	-7125	-11851
357	-6249	-9755
358	-10596	355
359	-4216	358
360	-4488	352
361	-567	360
362	-9595	-12981
363	-1162	-6353
364	-9366	329
365	295	361
