Var1	Freq
1	black	893
2	blue	2370
3	brown	2063
4	cyan	493
5	darkgreen	300
6	darkgrey	187
7	darkmagenta	56
8	darkolivegreen	63
9	darkorange	152
10	darkred	306
11	darkturquoise	190
12	green	1316
13	greenyellow	602
14	grey	4951
15	grey60	442
16	lightcyan	447
17	lightgreen	397
18	lightyellow	375
19	magenta	630
20	midnightblue	455
21	orange	181
22	orangered4	29
23	paleturquoise	75
24	pink	675
25	plum1	31
26	purple	608
27	red	1246
28	royalblue	370
29	saddlebrown	95
30	salmon	553
31	sienna3	51
32	skyblue	96
33	skyblue3	39
34	steelblue	90
35	tan	581
36	turquoise	3426
37	violet	68
38	white	107
39	yellow	1851
40	yellowgreen	44
